Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,34.919998,35.400002,34.099998,35.119999,29.421578999999998,13767900
2013-01-03,35.0,35.0,34.16,34.830002,29.178646,16739300
2013-01-04,34.619999,34.889998999999996,34.25,34.389998999999996,28.810034,21372100
2013-01-07,34.150002,35.450001,34.150002,34.459998999999996,28.86867,17897100
2013-01-08,34.290001000000004,34.639998999999996,33.360001000000004,33.709998999999996,28.240362,17863300
2013-01-09,33.610001000000004,33.950001,33.610001000000004,33.900002,28.399534000000003,18800400
2013-01-10,33.66,34.0,33.330002,34.0,28.483307,15658100
2013-01-11,33.59,33.900002,33.349998,33.849998,28.695232,11191500
2013-01-14,34.009997999999996,34.25,33.799999,34.09,28.898682,11584900
2013-01-15,33.709998999999996,34.720001,33.709998999999996,34.599998,29.331024,13040200
2013-01-16,34.470001,35.540001000000004,34.450001,35.540001000000004,30.127882,16512700
2013-01-17,35.75,36.700001,35.75,36.419998,30.873871,14424800
2013-01-18,36.43,37.32,36.040001000000004,37.32,31.63682,17842200
2013-01-22,36.98,37.25,35.93,36.419998,30.873871,15809700
2013-01-23,36.91,37.84,36.5,37.799999,32.043728,10981600
2013-01-24,37.790001000000004,38.52,37.23,37.459998999999996,31.755497,11327100
2013-01-25,37.52,37.84,36.639998999999996,37.599998,31.874168,8934600
2013-01-28,37.650002,37.869999,36.709998999999996,36.889998999999996,31.272295,7140100
2013-01-29,36.709998999999996,37.459998999999996,36.25,37.310001,31.628344,8838500
2013-01-30,36.810001,37.529999,36.810001,36.93,31.306202000000003,10841800
2013-01-31,36.84,36.93,36.27,36.689999,31.102753000000003,10720700
2013-02-01,36.84,37.200001,36.52,37.18,31.518129,9527500
2013-02-04,36.639998999999996,37.299999,36.549999,37.279999,31.602915000000003,6348000
2013-02-05,37.419998,37.73,37.18,37.200001,31.535089000000003,7284400
2013-02-06,36.959998999999996,37.279999,36.860001000000004,37.139998999999996,31.484228,5738900
2013-02-07,37.57,37.57,35.799999,36.419998,30.873871,9872500
2013-02-08,36.369999,36.419998,35.830002,36.25,30.729767,13858700
2013-02-11,36.130001,36.18,35.75,35.849998,30.390675,6032100
2013-02-12,35.77,35.900002,35.200001,35.419998,30.026152000000003,7473800
